trading_date,owner,owner_name,lead_code,lead_name,option_type,strike,expiry,dte,volume,turnover,owner_turnover,owner_volume,n_contracts,oi_increment,iv,change_ratio,day_chg_pct,open_chg_pct,ret_1d,ret_2d,alert_reason
2026-08-21,HK.02899,ZIJIN MINING,HK.ZJM260828C36000,ZJM 260828 36.00 C,CALL,36.0,2026-08-28,7.0,195,955640.0,2100600.0,631.0,4,,48.355,68.75,4.896626768226353,2.7203482045701888,-0.3112033195020847,-3.9419087136929543,contract+owner_sum
2026-08-21,HK.06181,老铺黄金,HK.LAO260828C400000,LAO 260828 400.00 C,CALL,400.0,2026-08-28,7.0,794,1117908.0,2029769.0,1493.0,3,,96.753,89.651,7.455429497568877,2.1069692058346856,0.10055304172951196,-2.0110608345902503,contract+owner_sum
2026-08-21,HK.01024,KUAISHOU-W,HK.KST260828C34000,KST 260828 34.00 C,CALL,34.0,2026-08-28,7.0,2906,1317290.0,1984425.0,6978.0,3,808.0,44.352,31.707,2.318668252080869,0.059453032104617165,-4.067402672864606,-3.3701336432306883,contract+owner_sum
2026-08-21,HEX,,HK.HEX260828C420000,HEX 260828 420.00 C,CALL,420.0,2026-08-28,7.0,1470,684223.0,1670630.0,2100.0,3,,20.011,0.245,,,,,contract+owner_sum
2026-08-21,HK.09868,小鹏-W,HK.PEN260828C47000,PEN 260828 47.00 C,CALL,47.0,2026-08-28,7.0,1477,700158.0,1420668.0,3696.0,3,,81.672,8.13,0.5855290673358438,-1.2965286491007921,-0.8731808731808788,-9.97920997920999,contract+owner_sum
2026-08-21,HK.02628,中国人寿,HK.CLI260828C28000,CLI 260828 28.00 C,CALL,28.0,2026-08-28,7.0,1187,738640.0,1283710.0,2429.0,2,385.0,43.435,165.384,5.093632958801497,0.3745318352059934,2.1382751247327247,0.2138275124732747,contract+owner_sum
2026-08-21,HK.03690,美团-W,HK.MET260828C85000,MET 260828 85.00 C,CALL,85.0,2026-08-28,7.0,937,565655.0,1145955.0,3335.0,3,,35.109,-30.111,-0.9900990099009799,-0.17472335468839972,-2.705882352941169,-9.176470588235286,contract+owner_sum
2026-08-21,HK.03750,宁德时代,HK.CAT260821C640000,CAT 260821 640.00 C,CALL,640.0,2026-08-21,0.0,545,661965.0,1133857.0,902.0,3,,926.261,614.285,3.7360890302066796,1.4308426073131875,-2.145593869731799,-4.82758620689655,contract+owner_sum
2026-08-24,HK.09988,阿里巴巴-W,HK.ALB260828C45000,ALB 260828 45.00 C,CALL,45.0,2026-08-28,4.0,692,23179930.0,38702910.0,27952.0,10,,,-15.955,-8.536585365853655,-8.048780487804885,1.5111111111111075,3.64444444444445,contract+owner_sum
2026-08-24,HK.00700,腾讯控股,HK.TCH260828C360000,TCH 260828 360.00 C,CALL,360.0,2026-08-28,4.0,340,2745180.0,6665648.0,12549.0,5,119.0,79.85,-17.52,-3.7199124726477018,-1.5317286652078765,0.454545454545463,1.2272727272727213,contract+owner_sum
